2022/12/13 06:29:49 [notice] 17#17: using the "epoll" event method
2022/12/13 06:29:49 [notice] 17#17: nginx/1.21.6
2022/12/13 06:29:49 [notice] 17#17: built by gcc 10.2.1 20210110 (Debian 10.2.1-6) 
2022/12/13 06:29:49 [notice] 17#17: OS: Linux 5.15.79.1-microsoft-standard-WSL2
2022/12/13 06:29:49 [notice] 17#17: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2022/12/13 06:29:49 [notice] 17#17: start worker processes
2022/12/13 06:29:49 [notice] 17#17: start worker process 18
2022/12/13 06:29:49 [notice] 17#17: start worker process 19
2022/12/13 06:29:49 [notice] 17#17: start worker process 20
2022/12/13 06:29:49 [notice] 17#17: start worker process 21
2022/12/13 06:29:49 [notice] 17#17: start worker process 22
2022/12/13 06:29:49 [notice] 17#17: start worker process 23
2022/12/13 06:29:49 [notice] 17#17: start worker process 24
2022/12/13 06:29:49 [notice] 17#17: start worker process 25
2022/12/13 06:29:49 [notice] 17#17: start worker process 26
2022/12/13 06:29:49 [notice] 17#17: start worker process 27
2022/12/13 06:29:49 [notice] 17#17: start worker process 28
2022/12/13 06:29:49 [notice] 17#17: start worker process 29
2022/12/13 06:29:49 [notice] 17#17: start worker process 30
2022/12/13 06:29:49 [notice] 17#17: start worker process 31
2022/12/13 06:29:49 [notice] 17#17: start worker process 32
2022/12/13 06:29:49 [notice] 17#17: start worker process 33
2022/12/13 06:29:49 [notice] 17#17: start worker process 34
2022/12/13 06:29:49 [notice] 17#17: start worker process 35
2022/12/13 06:29:49 [notice] 17#17: start worker process 36
2022/12/13 06:29:49 [notice] 17#17: start worker process 37
